,RMSE,ND
0,1.32233080239546,0.36684525
1,1.32233080239546,0.3668452501296997
2,0.337532347328695,0.1504258215427398
3,0.4463611970847309,0.1783863306045532
4,0.4463611970847309,0.1783863306045532
5,0.7887439629042408,0.1561533808708191
6,0.3088823226077687,0.0983717963099479
7,0.3296034879341381,0.110853411257267
8,0.3296034879341381,0.110853411257267
9,0.3834452296821546,0.1019844934344291
10,0.3834452296821546,0.1019844934344291
11,2.628111273913717,0.3513754308223724
12,2.628111273913717,0.3513754606246948
13,0.336916308463529,0.0878576636314392
14,0.3177736702708733,0.085673376917839
15,0.3177158247332723,0.0907683223485946
16,0.3260322252985956,0.0885341465473175
17,0.2679210234374309,0.0887228623032569
18,0.3051782315734012,0.1048542112112045
19,0.3051782315734012,0.1048542186617851
20,0.2856997182458042,0.1121450141072273
21,0.2788788876439693,0.1041528135538101
22,0.2758021172685905,0.1105455830693245
23,0.2758021172685905,0.1105455756187439
24,0.2758021172685905,0.1105455830693245
25,0.2758032519269138,0.11054576933383942
